query,sop,score
帮我看看订单已发货还能拦截吗怎么处理,建议处理：物流停滞受天气、节假日或中转异常影响时，可等待一到两天后再观察节点更新。,0.8
咨询一下账号被锁了怎么恢复登录,标准流程：当账号因输错密码次数过多被锁定时，等待解锁时间结束或通过身份验证解锁后重新登录,0.8
麻烦问一下发货太慢怎么催,订单详情页可查看物流单号并跳转到承运商页面查询，并在系统中记录处理结果。,0.8
手机号换了收不到验证码怎么办,当账号因输错密码次数过多被锁定时，等待解锁时间结束或通过身份验证解锁后重新登录,0.8
退款审核要多久怎么处理,标准流程：若退款原路失败，系统会提示用户补充退款账户信息。,0.8
我想知道电子发票在哪里下载如何处理,建议处理：退款完成后可能需要红冲已开具发票。,0.8
商品有问题怎么退货如何处理,标准流程：当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理，并在系统中记录处理结果。,0.8
想问下商品坏了怎么走售后要怎么解决,处理规则：当退货物流信息填错时，及时修改正确单号并同步给商家以继续售后流程，必要时联系人工客服协助。,0.8
麻烦问一下登录提示需要身份验证怎么处理,处理规则：当登录需要二次验证时，校验绑定手机或邮箱验证码，验证通过后允许登录,0.8
想问下退货物流填错了怎么办,标准流程：商家审核通过后需在规定时间内寄回商品，否则退款申请可能关闭,0.8
商品坏了怎么走售后,处理规则：当退货物流信息填错时，及时修改正确单号并同步给商家以继续售后流程，必要时联系人工客服协助。,0.8
请问快递异常怎么处理,如快递异常退回仓库，需确认是否重新发货或直接退款，完成后更新工单状态。,0.8
帮我看看优惠券过期了还能恢复吗有没有处理办法,处理规则：当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则，必要时联系人工客服协助。,0.8
用户忘记密码登录不了怎么办,标准流程：当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码，完成后更新工单状态。,0.8
想问下发票审核失败怎么办,建议处理：当电子发票未收到时，先检查邮箱垃圾箱，再到订单详情页重新下载电子发票。,0.8
付款后订单一直没成功怎么处理,处理规则：当扣款成功但订单未更新为已支付时，查询支付回调记录并触发补单流程修正订单状态，并在系统中记录处理结果。,0.8
请问发票一直没开出来怎么办,当退款发生后，如已开具发票需按规则申请红字发票或作废处理,0.8
麻烦问一下企业发票怎么开怎么处理,标准流程：若开票金额与订单不一致，需先核对优惠、退款和实付金额后再处理，并在系统中记录处理结果。,0.8
麻烦问一下发票审核失败怎么办,建议处理：当电子发票未收到时，先检查邮箱垃圾箱，再到订单详情页重新下载电子发票。,0.8
咨询一下账号被锁了怎么恢复登录,处理规则：如绑定手机号已失效，可走账户资料核验流程重新绑定新手机号，并在系统中记录处理结果。,0.8
领了优惠券结算时不生效,SOP：当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则，必要时联系人工客服协助。,0.8
请教一下怎么申请发票如何处理,处理规则：当电子发票未收到时，先检查邮箱垃圾箱，再到订单详情页重新下载电子发票,0.8
售后申请被拒绝怎么办,建议处理：当退货物流信息填错时，及时修改正确单号并同步给商家以继续售后流程，完成后更新工单状态。,0.8
电子发票在哪里下载,SOP：退款完成后可能需要红冲已开具发票,0.8
咨询一下订单支付失败怎么办,当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单,0.8
帮我看看售后申请被拒绝怎么办,标准流程：当退货物流信息填错时，及时修改正确单号并同步给商家以继续售后流程，并在系统中记录处理结果。,0.8
咨询一下收到货不满意可以退吗要怎么解决,建议处理：平台介入后会根据聊天记录、物流记录和凭证材料综合判定，完成后更新工单状态。,0.8
发票抬头填错了怎么办,处理规则：如发票下载链接失效，可在发票记录页重新生成下载链接，并在系统中记录处理结果。,0.8
麻烦问一下支付时报错了怎么办,建议处理：当支付被风控拦截时，需完成风险验证或更换支付账户后重新尝试付款,0.8
微信支付后状态一直未更新怎么办,标准流程：若支付渠道维护中，可引导用户稍后重试或切换到其他支付方式。,0.8
咨询一下银行卡扣款了但订单没生成怎么办,当支付被风控拦截时，需完成风险验证或更换支付账户后重新尝试付款,0.8
请问发票审核失败怎么办,处理规则：当退款发生后，如已开具发票需按规则申请红字发票或作废处理。,0.8
请问订单已发货还能拦截吗应该怎么弄,当包裹显示签收但用户未收到时，先联系派件员核实签收情况，必要时申请丢件调查或补发,0.8
麻烦问一下账号被锁了怎么恢复登录,当登录需要二次验证时，校验绑定手机或邮箱验证码，验证通过后允许登录,0.8
帮我看看用户忘记密码登录不了怎么办,SOP：当用户忘记密码时，点击忘记密码按钮并完成身份校验后重置密码，恢复账号访问，完成后更新工单状态。,0.8
想问下新人券不能使用怎么处理,当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则。,0.8
怎么申请退款,处理规则：当售后被拒绝时，可根据拒绝原因补充凭证后再次提交或申请平台介入，并在系统中记录处理结果。,0.8
我想知道登录提示需要身份验证怎么处理,当用户收不到短信验证码时，先检查手机号绑定状态，再切换邮箱验证或联系客服处理，必要时联系人工客服协助。,0.8
我想知道发票邮箱填错了怎么改,企业发票需填写公司名称、税号等开票信息，审核通过后方可开具，并在系统中记录处理结果。,0.8
请问用户忘记密码登录不了怎么办,建议处理：当密码重置仍失败时，可提交人工审核工单，由客服核验身份后恢复账号访问，完成后更新工单状态。,0.8
帮我看看银行卡扣款了但订单没生成怎么办,处理规则：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单，必要时联系人工客服协助。,0.8
咨询一下新人券不能使用怎么处理,SOP：当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则，完成后更新工单状态。,0.8
请教一下支付成功但页面显示未支付怎么办,建议处理：当扣款成功但订单未更新为已支付时，查询支付回调记录并触发补单流程修正订单状态。,0.8
麻烦问一下订单支付失败怎么办,SOP：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单。,0.8
请问登录时一直提示密码不对怎么办,当登录需要二次验证时，校验绑定手机或邮箱验证码，验证通过后允许登录，完成后更新工单状态。,0.8
咨询一下订单支付失败怎么办,SOP：如支付成功但未收到通知，可在消息中心或订单列表中手动刷新状态，并在系统中记录处理结果。,0.8
帮我看看满减券不能用怎么办,处理规则：活动价格和优惠券是否可叠加需按具体促销规则判断，必要时联系人工客服协助。,0.8
我想知道商家拒绝退款怎么办,当商品存在质量问题时，上传问题图片后发起退货退款申请，并按要求寄回商品,0.8
想问下电子发票在哪里下载,处理规则：订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱。,0.8
请问支付时优惠券失效了怎么办,建议处理：当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则，必要时联系人工客服协助。,0.8
请教一下微信支付后状态一直未更新怎么办,建议处理：若支付渠道维护中，可引导用户稍后重试或切换到其他支付方式。,0.8
请教一下付款后订单一直没成功怎么处理,建议处理：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单。,0.8
咨询一下活动价和优惠券能叠加吗该怎么办,标准流程：部分优惠券仅限特定类目、商家或支付方式使用，需查看券面说明，必要时联系人工客服协助。,0.8
帮我看看发票审核失败怎么办,建议处理：纸质发票如需邮寄，请确认邮寄地址和联系人信息无误，并在系统中记录处理结果。,0.8
我想知道支付成功但页面显示未支付怎么办,处理规则：当扣款成功但订单未更新为已支付时，查询支付回调记录并触发补单流程修正订单状态，并在系统中记录处理结果。,0.8
怎么查物流,当订单已发货但需拦截时，联系商家发起物流拦截申请，拦截成功后再安排退款或重发,0.8
订单已发货还能拦截吗应该怎么弄,建议处理：当订单已发货但需拦截时，联系商家发起物流拦截申请，拦截成功后再安排退款或重发。,0.8
想问下付款后订单一直没成功怎么处理,当支付页面长时间无响应时，建议刷新页面或重新进入订单详情页查看最新支付状态,0.8
我想知道怎么申请退款,SOP：若商品已使用或影响二次销售，平台可能不支持无理由退货，并在系统中记录处理结果。,0.8
麻烦问一下银行卡扣款了但订单没生成怎么办,标准流程：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单,0.8
请教一下满减券不能用怎么办,标准流程：活动价格和优惠券是否可叠加需按具体促销规则判断，完成后更新工单状态。,0.8
发票金额和订单不一致怎么办,建议处理：如发票下载链接失效，可在发票记录页重新生成下载链接,0.8
发票审核失败怎么办,当退款发生后，如已开具发票需按规则申请红字发票或作废处理,0.8
发货太慢怎么催,SOP：当订单已发货但需拦截时，联系商家发起物流拦截申请，拦截成功后再安排退款或重发，完成后更新工单状态。,0.8
快递停滞几天了怎么办,处理规则：当包裹显示签收但用户未收到时，先联系派件员核实签收情况，必要时申请丢件调查或补发，必要时联系人工客服协助。,0.8
发货太慢怎么催,处理规则：若用户急需商品，可优先与商家协商更换配送方式，必要时联系人工客服协助。,0.8
想问下退款后发票怎么处理,建议处理：退款完成后可能需要红冲已开具发票，并在系统中记录处理结果。,0.8
请教一下支付成功但页面显示未支付怎么办,当扣款成功但订单未更新为已支付时，查询支付回调记录并触发补单流程修正订单状态,0.8
想问下退货物流填错了怎么办,处理规则：商家审核通过后需在规定时间内寄回商品，否则退款申请可能关闭，并在系统中记录处理结果。,0.8
发票一直没开出来怎么办,处理规则：退款完成后可能需要红冲已开具发票,0.8
请教一下订单完成后怎么补开发票有没有处理办法,标准流程：订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱，必要时联系人工客服协助。,0.8
我想知道退款后发票怎么处理,退款完成后可能需要红冲已开具发票，完成后更新工单状态。,0.8
帮我看看用户无法登录系统怎么处理,标准流程：当账号存在安全风险时，需先完成安全验证，验证通过后才能继续登录,0.8
我想知道怎么申请退款,若商品已使用或影响二次销售，平台可能不支持无理由退货,0.8
帮我看看售后申请被拒绝怎么办,标准流程：当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理，完成后更新工单状态。,0.8
想问下地址填错了还能改吗,当发货前发现地址填写错误时，可在商家发货前申请修改收货地址，完成后更新工单状态。,0.8
我想知道订单完成后怎么补开发票怎么处理,标准流程：当电子发票未收到时，先检查邮箱垃圾箱，再到订单详情页重新下载电子发票，完成后更新工单状态。,0.8
请教一下支付宝支付失败怎么办,SOP：当支付失败时，先确认支付渠道余额和限额，再更换支付方式重新付款，完成后更新工单状态。,0.8
我想知道订单支付失败怎么办,标准流程：当支付被风控拦截时，需完成风险验证或更换支付账户后重新尝试付款,0.8
请问新人券不能使用怎么处理,当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件。,0.8
我想知道支付宝支付失败怎么办,处理规则：当页面显示未支付但支付已成功时，以支付流水为准进行订单状态校正，并在系统中记录处理结果。,0.8
快递异常怎么处理,处理规则：物流停滞受天气、节假日或中转异常影响时，可等待一到两天后再观察节点更新，必要时联系人工客服协助。,0.8
咨询一下新人券不能使用怎么处理,处理规则：活动价格和优惠券是否可叠加需按具体促销规则判断，必要时联系人工客服协助。,0.8
麻烦问一下发票审核失败怎么办,标准流程：当电子发票未收到时，先检查邮箱垃圾箱，再到订单详情页重新下载电子发票，必要时联系人工客服协助。,0.8
帮我看看活动价和优惠券能叠加吗应该怎么弄,SOP：店铺券和平台券能否叠加需以活动规则为准，不支持叠加时仅可选择其中一种使用。,0.8
请教一下新人券不能使用怎么处理,当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则,0.8
订单支付失败怎么办,如支付成功但未收到通知，可在消息中心或订单列表中手动刷新状态,0.8
请教一下银行卡扣款了但订单没生成怎么办,建议处理：当支付被风控拦截时，需完成风险验证或更换支付账户后重新尝试付款,0.8
帮我看看微信支付后状态一直未更新怎么办,当支付被风控拦截时，需完成风险验证或更换支付账户后重新尝试付款,0.8
想问下支付成功但页面显示未支付怎么办,若支付密码连续输错，可先重置支付密码后再尝试完成付款,0.8
怎么申请发票,订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱,0.8
请教一下订单已发货还能拦截吗要怎么解决,当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单,0.8
请问包裹丢了怎么处理,若用户急需商品，可优先与商家协商更换配送方式,0.8
麻烦问一下发票金额和订单不一致怎么办,标准流程：若开票金额与订单不一致，需先核对优惠、退款和实付金额后再处理，必要时联系人工客服协助。,0.8
密码不记得了怎么登录,如绑定手机号已失效，可走账户资料核验流程重新绑定新手机号,0.8
麻烦问一下付款后订单一直没成功怎么处理,处理规则：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单，必要时联系人工客服协助。,0.8
麻烦问一下银行卡扣款了但订单没生成怎么办,处理规则：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单，必要时联系人工客服协助。,0.8
帮我看看订单完成后怎么补开发票如何处理,当电子发票未收到时，先检查邮箱垃圾箱，再到订单详情页重新下载电子发票,0.8
请教一下登录提示需要身份验证怎么处理,标准流程：当账号存在安全风险时，需先完成安全验证，验证通过后才能继续登录。,0.8
请教一下满减券不能用怎么办,标准流程：当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则,0.8
想问下用户忘记密码登录不了怎么办,SOP：当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码，并在系统中记录处理结果。,0.8
帮我看看支付成功但页面显示未支付怎么办,若支付密码连续输错，可先重置支付密码后再尝试完成付款，并在系统中记录处理结果。,0.8
我想知道商品有问题怎么退货应该怎么弄,标准流程：当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理,0.8
帮我看看电子发票在哪里下载怎么处理,标准流程：发票审核失败通常与抬头、税号或邮箱格式错误有关，修改后可重新提交，完成后更新工单状态。,0.8
请问优惠券为什么用不了如何处理,建议处理：当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件，并在系统中记录处理结果。,1.0
店铺券和平台券怎么一起用,标准流程：当支付时优惠券失效，可能因活动结束或库存变更导致，需重新刷新结算页确认可用优惠，完成后更新工单状态。,1.0
请教一下微信支付后状态一直未更新怎么办,处理规则：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单，并在系统中记录处理结果。,1.0
我想知道密码不记得了怎么登录要怎么解决,标准流程：当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码，必要时联系人工客服协助。,1.0
微信支付后状态一直未更新怎么办,当扣款成功但订单未更新为已支付时，查询支付回调记录并触发补单流程修正订单状态,1.0
我想知道退货物流填错了怎么办,SOP：当售后被拒绝时，可根据拒绝原因补充凭证后再次提交或申请平台介入,1.0
请问支付时报错了怎么办,SOP：当支付失败时，先确认支付渠道余额和限额，再更换支付方式重新付款，必要时联系人工客服协助。,1.0
麻烦问一下收到货不满意可以退吗该怎么办,处理规则：当退货物流信息填错时，及时修改正确单号并同步给商家以继续售后流程,1.0
连续输错密码后无法登录怎么办,建议处理：当用户忘记密码时，点击忘记密码按钮并完成身份校验后重置密码，恢复账号访问，并在系统中记录处理结果。,1.0
麻烦问一下什么时候发货有没有处理办法,建议处理：当包裹显示签收但用户未收到时，先联系派件员核实签收情况，必要时申请丢件调查或补发。,1.0
麻烦问一下优惠券被回收了怎么办,当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件，必要时联系人工客服协助。,1.0
请教一下收到货不满意可以退吗怎么处理,处理规则：当退货物流信息填错时，及时修改正确单号并同步给商家以继续售后流程,1.0
请问发票邮箱填错了怎么改要怎么解决,标准流程：订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱，完成后更新工单状态。,1.0
想问下支付时报错了怎么办,标准流程：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单，完成后更新工单状态。,1.0
麻烦问一下优惠券过期了还能恢复吗如何处理,建议处理：当支付时优惠券失效，可能因活动结束或库存变更导致，需重新刷新结算页确认可用优惠，并在系统中记录处理结果。,1.0
麻烦问一下收到货不满意可以退吗怎么处理,处理规则：当售后被拒绝时，可根据拒绝原因补充凭证后再次提交或申请平台介入，并在系统中记录处理结果。,1.0
我想知道密码不记得了怎么登录要怎么解决,当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码,1.0
发票金额和订单不一致怎么办,SOP：订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱，完成后更新工单状态。,1.0
请问优惠券过期了还能恢复吗要怎么解决,当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件,1.0
想问下退款审核要多久该怎么办,标准流程：当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理。,1.0
商家拒绝退款怎么办,处理规则：当售后被拒绝时，可根据拒绝原因补充凭证后再次提交或申请平台介入，必要时联系人工客服协助。,1.0
优惠券被回收了怎么办,当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件。,1.0
麻烦问一下店铺券和平台券怎么一起用有没有处理办法,当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则,1.0
密码不记得了怎么登录,当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码,1.0
请教一下优惠券过期了还能恢复吗要怎么解决,处理规则：当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件,1.0
发票金额和订单不一致怎么办,当发票抬头填写错误时，在未开票前可修改抬头信息，已开票需申请红冲后重新开具,1.0
请教一下优惠券为什么用不了如何处理,处理规则：当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件，完成后更新工单状态。,1.0
麻烦问一下订单支付失败怎么办,标准流程：当支付失败时，先确认支付渠道余额和限额，再更换支付方式重新付款，完成后更新工单状态。,1.0
咨询一下退款审核要多久有没有处理办法,标准流程：当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理,1.0
想问下退款后发票怎么处理,当电子发票未收到时，先检查邮箱垃圾箱，再到订单详情页重新下载电子发票,1.0
请问密码不记得了怎么登录怎么处理,当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码,1.0
麻烦问一下订单支付失败怎么办,当支付失败时，先确认支付渠道余额和限额，再更换支付方式重新付款，必要时联系人工客服协助。,1.0
请问订单已发货还能拦截吗该怎么办,建议处理：当物流长时间未更新时，先核对承运商节点信息，再联系物流公司或商家发起物流异常核查,1.0
帮我看看用户无法登录系统怎么处理,当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码,1.0
请教一下物流一直不更新怎么办,处理规则：当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单。,1.0
我想知道商品有问题怎么退货怎么处理,当用户申请退款时，在订单详情页提交退款原因并等待商家审核，审核通过后原路退款，并在系统中记录处理结果。,1.0
我想知道发货太慢怎么催要怎么解决,建议处理：当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单，完成后更新工单状态。,1.0
咨询一下商品有问题怎么退货要怎么解决,SOP：当用户申请退款时，在订单详情页提交退款原因并等待商家审核，审核通过后原路退款，完成后更新工单状态。,1.0
订单已发货还能拦截吗,处理规则：当物流长时间未更新时，先核对承运商节点信息，再联系物流公司或商家发起物流异常核查，并在系统中记录处理结果。,1.0
请问订单完成后怎么补开发票,建议处理：当退款发生后，如已开具发票需按规则申请红字发票或作废处理,1.0
麻烦问一下发票抬头填错了怎么办,标准流程：当发票抬头填写错误时，在未开票前可修改抬头信息，已开票需申请红冲后重新开具,1.0
麻烦问一下支付页面卡住了怎么处理,标准流程：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单，必要时联系人工客服协助。,1.0
请问商品有问题怎么退货有没有处理办法,当商品存在质量问题时，上传问题图片后发起退货退款申请，并按要求寄回商品,1.0
商家拒绝退款怎么办,当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理,1.0
我想知道为什么提示不满足优惠条件有没有处理办法,处理规则：店铺券和平台券能否叠加需以活动规则为准，不支持叠加时仅可选择其中一种使用，并在系统中记录处理结果。,1.0
麻烦问一下退款审核要多久,当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理,1.0
请问用户无法登录系统怎么处理,标准流程：当登录需要二次验证时，校验绑定手机或邮箱验证码，验证通过后允许登录。,1.0
退款审核要多久,当用户申请退款时，在订单详情页提交退款原因并等待商家审核，审核通过后原路退款,1.0
用户无法登录系统怎么处理,当账号因输错密码次数过多被锁定时，等待解锁时间结束或通过身份验证解锁后重新登录,1.0
请教一下订单重复扣款怎么退款,标准流程：当出现重复扣款时，核对支付流水后发起原路退款，仅保留一笔有效订单,1.0
麻烦问一下订单想退款怎么操作,当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理,1.0
请问什么时候发货该怎么办,当订单已发货但需拦截时，联系商家发起物流拦截申请，拦截成功后再安排退款或重发,1.0
麻烦问一下怎么查物流怎么处理,处理规则：当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单,1.0
登录提示需要身份验证怎么处理,当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码,1.0
想问下售后申请被拒绝怎么办,SOP：当商品存在质量问题时，上传问题图片后发起退货退款申请，并按要求寄回商品。,1.0
咨询一下用户无法登录系统怎么处理,SOP：当登录需要二次验证时，校验绑定手机或邮箱验证码，验证通过后允许登录，并在系统中记录处理结果。,1.0
优惠券过期了还能恢复吗应该怎么弄,处理规则：当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件,1.0
店铺券和平台券怎么一起用有没有处理办法,处理规则：店铺券和平台券能否叠加需以活动规则为准，不支持叠加时仅可选择其中一种使用，完成后更新工单状态。,1.0
连续输错密码后无法登录怎么办,SOP：当用户忘记密码时，点击忘记密码按钮并完成身份校验后重置密码，恢复账号访问，并在系统中记录处理结果。,1.0
请问发票金额和订单不一致怎么办,SOP：订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱，完成后更新工单状态。,1.0
想问下退货物流填错了怎么办,建议处理：当商品存在质量问题时，上传问题图片后发起退货退款申请，并按要求寄回商品,1.0
请问连续输错密码后无法登录怎么办,建议处理：当用户收不到短信验证码时，先检查手机号绑定状态，再切换邮箱验证或联系客服处理，必要时联系人工客服协助。,1.0
帮我看看发票金额和订单不一致怎么办,标准流程：当发票抬头填写错误时，在未开票前可修改抬头信息，已开票需申请红冲后重新开具,1.0
请教一下快递显示签收但我没收到怎么办,当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单,1.0
我想知道收到货不满意可以退吗应该怎么弄,SOP：当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理，必要时联系人工客服协助。,1.0
麻烦问一下发票抬头填错了怎么办,SOP：当发票抬头填写错误时，在未开票前可修改抬头信息，已开票需申请红冲后重新开具。,1.0
想问下退款后发票怎么处理,订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱,1.0
连续输错密码后无法登录怎么办,标准流程：当账号因输错密码次数过多被锁定时，等待解锁时间结束或通过身份验证解锁后重新登录，并在系统中记录处理结果。,1.0
支付成功但页面显示未支付怎么办,处理规则：当页面显示未支付但支付已成功时，以支付流水为准进行订单状态校正，必要时联系人工客服协助。,1.0
包裹丢了怎么处理,标准流程：当包裹显示签收但用户未收到时，先联系派件员核实签收情况，必要时申请丢件调查或补发。,1.0
麻烦问一下账号登不上去提示密码错误怎么办,SOP：当用户忘记密码时，点击忘记密码按钮并完成身份校验后重置密码，恢复账号访问,1.0
订单想退款怎么操作,建议处理：当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理，并在系统中记录处理结果。,1.0
麻烦问一下包裹丢了怎么处理,当物流长时间未更新时，先核对承运商节点信息，再联系物流公司或商家发起物流异常核查,1.0
发票金额和订单不一致怎么办,SOP：当发票抬头填写错误时，在未开票前可修改抬头信息，已开票需申请红冲后重新开具，并在系统中记录处理结果。,1.0
我想知道发货太慢怎么催要怎么解决,当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单。,1.0
想问下为什么提示不满足优惠条件如何处理,SOP：当新人券无法使用时，确认账号是否为新用户以及是否符合新人活动规则,1.0
包裹丢了怎么处理,当包裹显示签收但用户未收到时，先联系派件员核实签收情况，必要时申请丢件调查或补发，并在系统中记录处理结果。,1.0
麻烦问一下账号被锁了怎么恢复登录,当用户忘记密码时，点击忘记密码按钮并完成身份校验后重置密码，恢复账号访问,1.0
麻烦问一下支付时报错了怎么办,建议处理：当支付失败时，先确认支付渠道余额和限额，再更换支付方式重新付款，完成后更新工单状态。,1.0
我想知道发票邮箱填错了怎么改怎么处理,建议处理：订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱，完成后更新工单状态。,1.0
咨询一下商品有问题怎么退货应该怎么弄,当商品存在质量问题时，上传问题图片后发起退货退款申请，并按要求寄回商品,1.0
快递停滞几天了怎么办,SOP：当发货前发现地址填写错误时，可在商家发货前申请修改收货地址，并在系统中记录处理结果。,1.0
请教一下怎么查物流如何处理,处理规则：当物流长时间未更新时，先核对承运商节点信息，再联系物流公司或商家发起物流异常核查。,1.0
咨询一下退款后发票怎么处理,处理规则：订单完成后可在发票中心提交开票信息，审核通过后生成电子发票并发送到预留邮箱，必要时联系人工客服协助。,1.0
我想知道店铺券和平台券怎么一起用有没有处理办法,当支付时优惠券失效，可能因活动结束或库存变更导致，需重新刷新结算页确认可用优惠,1.0
请教一下订单想退款怎么操作,建议处理：当退款迟迟未到账时，先核对退款状态和原支付渠道到账周期，超时后联系客服处理，必要时联系人工客服协助。,1.0
快递停滞几天了怎么办,SOP：当发货前发现地址填写错误时，可在商家发货前申请修改收货地址，完成后更新工单状态。,1.0
我想知道什么时候发货要怎么解决,SOP：当包裹显示签收但用户未收到时，先联系派件员核实签收情况，必要时申请丢件调查或补发，必要时联系人工客服协助。,1.0
我想知道验证码登录失败怎么办,当用户忘记密码时，点击忘记密码按钮并完成身份校验后重置密码，恢复账号访问,1.0
怎么查物流,SOP：当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单，并在系统中记录处理结果。,1.0
麻烦问一下什么时候发货如何处理,建议处理：当订单已发货但需拦截时，联系商家发起物流拦截申请，拦截成功后再安排退款或重发,1.0
想问下连续输错密码后无法登录怎么办,当账号因输错密码次数过多被锁定时，等待解锁时间结束或通过身份验证解锁后重新登录,1.0
请教一下企业发票怎么开该怎么办,当发票抬头填写错误时，在未开票前可修改抬头信息，已开票需申请红冲后重新开具。,1.0
请教一下优惠券过期了还能恢复吗要怎么解决,处理规则：当优惠券无法使用时，先核对有效期、适用商品范围和订单金额是否满足使用条件，完成后更新工单状态。,1.0
帮我看看商家拒绝退款怎么办,处理规则：当售后被拒绝时，可根据拒绝原因补充凭证后再次提交或申请平台介入。,1.0
想问下登录提示需要身份验证怎么处理,当系统提示密码错误时，引导用户确认账号信息后使用找回密码流程重置密码，并在系统中记录处理结果。,1.0
我想知道退款审核要多久有没有处理办法,当用户申请退款时，在订单详情页提交退款原因并等待商家审核，审核通过后原路退款,1.0
请教一下企业发票怎么开如何处理,当发票抬头填写错误时，在未开票前可修改抬头信息，已开票需申请红冲后重新开具,1.0
麻烦问一下物流一直不更新怎么办,当发货超时未出库时，提醒商家尽快发货，超出承诺时效可申请补偿或取消订单，完成后更新工单状态。,1.0
我想知道快递异常怎么处理,处理规则：当发货前发现地址填写错误时，可在商家发货前申请修改收货地址，并在系统中记录处理结果。,1.0
包裹丢了怎么处理,当物流长时间未更新时，先核对承运商节点信息，再联系物流公司或商家发起物流异常核查，并在系统中记录处理结果。,1.0
麻烦问一下收到货不满意可以退吗,处理规则：当售后被拒绝时，可根据拒绝原因补充凭证后再次提交或申请平台介入，并在系统中记录处理结果。,1.0
帮我看看退货物流填错了怎么办,当用户申请退款时，在订单详情页提交退款原因并等待商家审核，审核通过后原路退款,1.0
想问下发票审核失败怎么办,当发票抬头填写错误时，在未开票前可修改抬头信息，已开票需申请红冲后重新开具，并在系统中记录处理结果。,1.0
